HourUTC;HourDK;PriceArea;aFRR_DownPurchased;aFRR_UpPurchased;aFRR_DownCapPriceDKK;aFRR_DownCapPriceEUR;aFRR_UpCapPriceDKK;aFRR_UpCapPriceEUR
2024-11-06 22:00;2024-11-06 23:00;DK2;60,000000;29,000000;157,864690;21,170000;1099,832930;147,490000
2024-11-06 21:00;2024-11-06 22:00;DK2;60,000000;29,000000;73,451450;9,850000;1099,832930;147,490000
2024-11-06 20:00;2024-11-06 21:00;DK2;60,000000;29,000000;73,451450;9,850000;1099,832930;147,490000
2024-11-06 19:00;2024-11-06 20:00;DK2;48,000000;29,000000;58,462880;7,840000;1099,832930;147,490000
2024-11-06 18:00;2024-11-06 19:00;DK2;38,000000;39,000000;51,975290;6,970000;2252,386850;302,050000
2024-11-06 17:00;2024-11-06 18:00;DK2;38,000000;39,000000;51,975290;6,970000;2939,922250;394,250000
2024-11-06 16:00;2024-11-06 17:00;DK2;38,000000;39,000000;51,975290;6,970000;2645,967310;354,830000
2024-11-06 15:00;2024-11-06 16:00;DK2;38,000000;39,000000;51,975290;6,970000;2319,723560;311,080000
2024-11-06 14:00;2024-11-06 15:00;DK2;48,000000;29,000000;58,462880;7,840000;1099,832930;147,490000
2024-11-06 13:00;2024-11-06 14:00;DK2;48,000000;29,000000;58,462880;7,840000;1099,832930;147,490000
2024-11-06 12:00;2024-11-06 13:00;DK2;48,000000;29,000000;58,462880;7,840000;1099,832930;147,490000
2024-11-06 11:00;2024-11-06 12:00;DK2;50,000000;27,000000;61,445680;8,240000;565,538880;75,840000
2024-11-06 10:00;2024-11-06 11:00;DK2;50,000000;27,000000;61,445680;8,240000;505,435460;67,780000
2024-11-06 09:00;2024-11-06 10:00;DK2;48,000000;29,000000;58,462880;7,840000;1099,832930;147,490000
2024-11-06 08:00;2024-11-06 09:00;DK2;46,000000;29,000000;85,755500;11,500000;1099,832930;147,490000
2024-11-06 07:00;2024-11-06 08:00;DK2;55,000000;29,000000;141,683000;19,000000;1099,832930;147,490000
2024-11-06 06:00;2024-11-06 07:00;DK2;72,000000;29,000000;149,960270;20,110000;1099,832930;147,490000
2024-11-06 05:00;2024-11-06 06:00;DK2;66,000000;27,000000;97,984980;13,140000;644,657650;86,450000
2024-11-06 04:00;2024-11-06 05:00;DK2;70,000000;29,000000;134,226000;18,000000;1099,832930;147,490000
2024-11-06 03:00;2024-11-06 04:00;DK2;26,000000;26,000000;29,977140;4,020000;688,877660;92,380000
2024-11-06 02:00;2024-11-06 03:00;DK2;26,000000;26,000000;29,977140;4,020000;751,367320;100,760000
2024-11-06 01:00;2024-11-06 02:00;DK2;26,000000;26,000000;29,977140;4,020000;836,973680;112,240000
2024-11-06 00:00;2024-11-06 01:00;DK2;26,000000;26,000000;29,977140;4,020000;976,568720;130,960000
2024-11-05 23:00;2024-11-06 00:00;DK2;61,000000;12,000000;73,451450;9,850000;998,865150;133,950000
2024-11-05 22:00;2024-11-05 23:00;DK2;44,000000;28,000000;713,638848;95,680000;864,302568;115,880000
2024-11-05 21:00;2024-11-05 22:00;DK2;44,000000;30,000000;576,027678;77,230000;1099,994328;147,480000
2024-11-05 20:00;2024-11-05 21:00;DK2;44,000000;30,000000;500,546646;67,110000;1099,994328;147,480000
2024-11-05 19:00;2024-11-05 20:00;DK2;30,000000;30,000000;85,773900;11,500000;1099,994328;147,480000
2024-11-05 18:00;2024-11-05 19:00;DK2;30,000000;30,000000;82,044600;11,000000;1099,994328;147,480000
2024-11-05 17:00;2024-11-05 18:00;DK2;30,000000;37,000000;82,044600;11,000000;1931,628228;258,980000
2024-11-05 16:00;2024-11-05 17:00;DK2;35,000000;37,000000;98,006004;13,140000;2055,142644;275,540000
2024-11-05 15:00;2024-11-05 16:00;DK2;35,000000;30,000000;98,006004;13,140000;1099,994328;147,480000
2024-11-05 14:00;2024-11-05 15:00;DK2;35,000000;28,000000;98,006004;13,140000;551,861814;73,990000
2024-11-05 13:00;2024-11-05 14:00;DK2;30,000000;28,000000;74,586000;10,000000;567,077358;76,030000
2024-11-05 12:00;2024-11-05 13:00;DK2;35,000000;28,000000;98,006004;13,140000;619,063800;83,000000
2024-11-05 11:00;2024-11-05 12:00;DK2;30,000000;30,000000;89,503200;12,000000;1099,994328;147,480000
2024-11-05 10:00;2024-11-05 11:00;DK2;30,000000;28,000000;74,586000;10,000000;505,543908;67,780000
2024-11-05 09:00;2024-11-05 10:00;DK2;30,000000;28,000000;74,586000;10,000000;532,096524;71,340000
2024-11-05 08:00;2024-11-05 09:00;DK2;30,000000;30,000000;74,586000;10,000000;1099,994328;147,480000
2024-11-05 07:00;2024-11-05 08:00;DK2;44,000000;30,000000;442,966254;59,390000;1099,994328;147,480000
2024-11-05 06:00;2024-11-05 07:00;DK2;44,000000;30,000000;431,703768;57,880000;1099,994328;147,480000
2024-11-05 05:00;2024-11-05 06:00;DK2;44,000000;37,000000;457,286766;61,310000;1368,802272;183,520000
2024-11-05 04:00;2024-11-05 05:00;DK2;44,000000;30,000000;543,135252;72,820000;1099,994328;147,480000
2024-11-05 03:00;2024-11-05 04:00;DK2;26,000000;26,000000;29,983572;4,020000;688,950882;92,370000
2024-11-05 02:00;2024-11-05 03:00;DK2;26,000000;26,000000;29,983572;4,020000;751,453950;100,750000
2024-11-05 01:00;2024-11-05 02:00;DK2;26,000000;26,000000;29,983572;4,020000;837,078678;112,230000
2024-11-05 00:00;2024-11-05 01:00;DK2;30,000000;22,000000;108,448044;14,540000;957,162138;128,330000
2024-11-04 23:00;2024-11-05 00:00;DK2;35,000000;28,000000;136,939896;18,360000;1051,588014;140,990000
2024-11-04 22:00;2024-11-04 23:00;DK2;44,000000;28,000000;706,029926;94,670000;864,209864;115,880000
2024-11-04 21:00;2024-11-04 22:00;DK2;44,000000;28,000000;569,850498;76,410000;712,741946;95,570000
2024-11-04 20:00;2024-11-04 21:00;DK2;44,000000;28,000000;495,272498;66,410000;607,586966;81,470000
2024-11-04 19:00;2024-11-04 20:00;DK2;39,000000;28,000000;111,867000;15,000000;548,222878;73,510000
2024-11-04 18:00;2024-11-04 19:00;DK2;39,000000;28,000000;111,867000;15,000000;680,897140;91,300000
2024-11-04 17:00;2024-11-04 18:00;DK2;39,000000;30,000000;111,867000;15,000000;1099,727188;147,460000
2024-11-04 16:00;2024-11-04 17:00;DK2;39,000000;30,000000;119,324800;16,000000;1099,727188;147,460000
2024-11-04 15:00;2024-11-04 16:00;DK2;39,000000;28,000000;111,867000;15,000000;601,173258;80,610000
2024-11-04 14:00;2024-11-04 15:00;DK2;39,000000;28,000000;108,436412;14,540000;551,802622;73,990000
2024-11-04 13:00;2024-11-04 14:00;DK2;39,000000;25,000000;111,867000;15,000000;561,348606;75,270000
2024-11-04 12:00;2024-11-04 13:00;DK2;39,000000;7,000000;104,110888;13,960000;575,667582;77,190000
2024-11-04 11:00;2024-11-04 12:00;DK2;39,000000;22,000000;104,409200;14,000000;554,263696;74,320000
2024-11-04 10:00;2024-11-04 11:00;DK2;30,000000;28,000000;11659,226208;1563,360000;505,489684;67,780000
2024-11-04 09:00;2024-11-04 10:00;DK2;30,000000;28,000000;11659,226208;1563,360000;532,039452;71,340000
2024-11-04 08:00;2024-11-04 09:00;DK2;30,000000;28,000000;11659,226208;1563,360000;584,915254;78,430000
2024-11-04 07:00;2024-11-04 08:00;DK2;39,000000;28,000000;126,782600;17,000000;535,097150;71,750000
2024-11-04 06:00;2024-11-04 07:00;DK2;39,000000;28,000000;100,009098;13,410000;562,691010;75,450000
2024-11-04 05:00;2024-11-04 06:00;DK2;39,000000;3,000000;100,680300;13,500000;201,360600;27,000000
2024-11-04 04:00;2024-11-04 05:00;DK2;39,000000;3,000000;149,156000;20,000000;186,221266;24,970000
2024-11-04 03:00;2024-11-04 04:00;DK2;30,000000;3,000000;104,409200;14,000000;92,849610;12,450000
2024-11-04 02:00;2024-11-04 03:00;DK2;30,000000;3,000000;79,947616;10,720000;86,212168;11,560000
2024-11-04 01:00;2024-11-04 02:00;DK2;30,000000;3,000000;79,947616;10,720000;86,212168;11,560000
2024-11-04 00:00;2024-11-04 01:00;DK2;34,000000;3,000000;100,009098;13,410000;79,947616;10,720000
2024-11-03 23:00;2024-11-04 00:00;DK2;39,000000;10,000000;164,071600;22,000000;1068,628162;143,290000
2024-11-03 22:00;2024-11-03 23:00;DK2;39,000000;6,000000;108,413148;14,540000;399,876006;53,630000
2024-11-03 21:00;2024-11-03 22:00;DK2;39,000000;6,000000;108,413148;14,540000;399,876006;53,630000
2024-11-03 20:00;2024-11-03 21:00;DK2;39,000000;8,000000;108,413148;14,540000;1099,491252;147,460000
2024-11-03 19:00;2024-11-03 20:00;DK2;44,000000;8,000000;108,413148;14,540000;1099,491252;147,460000
2024-11-03 18:00;2024-11-03 19:00;DK2;39,000000;8,000000;108,413148;14,540000;1099,491252;147,460000
2024-11-03 17:00;2024-11-03 18:00;DK2;39,000000;8,000000;108,413148;14,540000;1099,491252;147,460000
2024-11-03 16:00;2024-11-03 17:00;DK2;39,000000;8,000000;89,474400;12,000000;1099,491252;147,460000
2024-11-03 15:00;2024-11-03 16:00;DK2;44,000000;8,000000;108,413148;14,540000;1099,491252;147,460000
2024-11-03 14:00;2024-11-03 15:00;DK2;44,000000;13,000000;119,299200;16,000000;1130,509044;151,620000
2024-11-03 13:00;2024-11-03 14:00;DK2;48,000000;2,000000;108,413148;14,540000;129,737880;17,400000
2024-11-03 12:00;2024-11-03 13:00;DK2;48,000000;7,000000;108,413148;14,540000;974,152530;130,650000
2024-11-03 11:00;2024-11-03 12:00;DK2;48,000000;2,000000;119,299200;16,000000;141,667800;19,000000
2024-11-03 10:00;2024-11-03 11:00;DK2;48,000000;2,000000;99,987642;13,410000;145,545024;19,520000
2024-11-03 09:00;2024-11-03 10:00;DK2;39,000000;2,000000;89,474400;12,000000;127,948392;17,160000
2024-11-03 08:00;2024-11-03 09:00;DK2;39,000000;9,000000;89,474400;12,000000;1099,491252;147,460000
2024-11-03 07:00;2024-11-03 08:00;DK2;43,000000;2,000000;97,974468;13,140000;111,843000;15,000000
2024-11-03 06:00;2024-11-03 07:00;DK2;39,000000;2,000000;108,413148;14,540000;111,843000;15,000000
2024-11-03 05:00;2024-11-03 06:00;DK2;39,000000;2,000000;108,413148;14,540000;93,948120;12,600000
2024-11-03 04:00;2024-11-03 05:00;DK2;39,000000;2,000000;89,474400;12,000000;93,948120;12,600000
2024-11-03 03:00;2024-11-03 04:00;DK2;38,000000;14,000000;49,956540;6,700000;659,426328;88,440000
2024-11-03 02:00;2024-11-03 03:00;DK2;38,000000;14,000000;49,956540;6,700000;654,728922;87,810000
2024-11-03 01:00;2024-11-03 02:00;DK2;38,000000;14,000000;49,956540;6,700000;657,338592;88,160000
2024-11-03 00:00;2024-11-03 01:00;DK2;38,000000;14,000000;49,956540;6,700000;659,351766;88,430000
2024-11-02 23:00;2024-11-03 00:00;DK2;39,000000;14,000000;108,413148;14,540000;664,123734;89,070000
2024-11-02 22:00;2024-11-02 23:00;DK2;39,000000;2,000000;100,658700;13,500000;116,391282;15,610000
2024-11-02 21:00;2024-11-02 22:00;DK2;39,000000;2,000000;100,658700;13,500000;119,299200;16,000000
2024-11-02 20:00;2024-11-02 21:00;DK2;39,000000;2,000000;100,658700;13,500000;141,667800;19,000000
2024-11-02 19:00;2024-11-02 20:00;DK2;48,000000;2,000000;119,299200;16,000000;141,667800;19,000000
2024-11-02 18:00;2024-11-02 19:00;DK2;48,000000;2,000000;119,299200;16,000000;141,667800;19,000000
2024-11-02 17:00;2024-11-02 18:00;DK2;48,000000;2,000000;119,299200;16,000000;141,667800;19,000000
2024-11-02 16:00;2024-11-02 17:00;DK2;39,000000;2,000000;100,658700;13,500000;141,667800;19,000000
2024-11-02 15:00;2024-11-02 16:00;DK2;48,000000;2,000000;141,667800;19,000000;134,211600;18,000000
2024-11-02 14:00;2024-11-02 15:00;DK2;39,000000;2,000000;74,562000;10,000000;141,667800;19,000000
2024-11-02 13:00;2024-11-02 14:00;DK2;39,000000;2,000000;82,465572;11,060000;157,847754;21,170000
2024-11-02 12:00;2024-11-02 13:00;DK2;44,000000;2,000000;97,974468;13,140000;149,124000;20,000000
2024-11-02 11:00;2024-11-02 12:00;DK2;44,000000;2,000000;97,974468;13,140000;134,211600;18,000000
2024-11-02 10:00;2024-11-02 11:00;DK2;48,000000;2,000000;104,386800;14,000000;149,124000;20,000000
2024-11-02 09:00;2024-11-02 10:00;DK2;44,000000;2,000000;104,386800;14,000000;134,957220;18,100000
2024-11-02 08:00;2024-11-02 09:00;DK2;44,000000;2,000000;104,386800;14,000000;141,667800;19,000000
2024-11-02 07:00;2024-11-02 08:00;DK2;44,000000;2,000000;104,386800;14,000000;149,124000;20,000000
2024-11-02 06:00;2024-11-02 07:00;DK2;44,000000;2,000000;104,386800;14,000000;149,124000;20,000000
2024-11-02 05:00;2024-11-02 06:00;DK2;44,000000;2,000000;104,386800;14,000000;141,667800;19,000000
2024-11-02 04:00;2024-11-02 05:00;DK2;44,000000;2,000000;104,386800;14,000000;164,036400;22,000000
2024-11-02 03:00;2024-11-02 04:00;DK2;39,000000;2,000000;74,562000;10,000000;111,843000;15,000000
2024-11-02 02:00;2024-11-02 03:00;DK2;39,000000;2,000000;74,562000;10,000000;111,843000;15,000000
2024-11-02 01:00;2024-11-02 02:00;DK2;39,000000;2,000000;74,562000;10,000000;100,658700;13,500000
2024-11-02 00:00;2024-11-02 01:00;DK2;39,000000;2,000000;74,562000;10,000000;100,658700;13,500000
2024-11-01 23:00;2024-11-02 00:00;DK2;48,000000;2,000000;108,413148;14,540000;149,124000;20,000000
2024-11-01 22:00;2024-11-01 23:00;DK2;38,000000;3,000000;165,378516;22,180000;134,211600;18,000000
2024-11-01 21:00;2024-11-01 22:00;DK2;38,000000;3,000000;165,378516;22,180000;149,124000;20,000000
2024-11-01 20:00;2024-11-01 21:00;DK2;38,000000;3,000000;164,036400;22,000000;150,615240;20,200000
2024-11-01 19:00;2024-11-01 20:00;DK2;29,000000;3,000000;89,474400;12,000000;149,869620;20,100000
2024-11-01 18:00;2024-11-01 19:00;DK2;29,000000;3,000000;82,018200;11,000000;157,847754;21,170000
2024-11-01 17:00;2024-11-01 18:00;DK2;29,000000;3,000000;82,018200;11,000000;155,461770;20,850000
2024-11-01 16:00;2024-11-01 17:00;DK2;34,000000;3,000000;97,974468;13,140000;164,036400;22,000000
2024-11-01 15:00;2024-11-01 16:00;DK2;38,000000;3,000000;104,386800;14,000000;164,036400;22,000000
2024-11-01 14:00;2024-11-01 15:00;DK2;34,000000;3,000000;111,843000;15,000000;134,211600;18,000000
2024-11-01 13:00;2024-11-01 14:00;DK2;38,000000;8,000000;104,386800;14,000000;430,595550;57,750000
2024-11-01 12:00;2024-11-01 13:00;DK2;38,000000;8,000000;104,386800;14,000000;430,297302;57,710000
2024-11-01 11:00;2024-11-01 12:00;DK2;38,000000;3,000000;104,386800;14,000000;164,036400;22,000000
2024-11-01 10:00;2024-11-01 11:00;DK2;38,000000;3,000000;104,386800;14,000000;167,615376;22,480000
2024-11-01 09:00;2024-11-01 10:00;DK2;29,000000;3,000000;89,474400;12,000000;152,852100;20,500000
2024-11-01 08:00;2024-11-01 09:00;DK2;29,000000;10,000000;78,290100;10,500000;526,034910;70,550000
2024-11-01 07:00;2024-11-01 08:00;DK2;38,000000;15,000000;141,667800;19,000000;724,891764;97,220000
2024-11-01 06:00;2024-11-01 07:00;DK2;38,000000;15,000000;134,211600;18,000000;721,685598;96,790000
2024-11-01 05:00;2024-11-01 06:00;DK2;38,000000;15,000000;141,667800;19,000000;684,106350;91,750000
2024-11-01 04:00;2024-11-01 05:00;DK2;38,000000;15,000000;165,378516;22,180000;678,588762;91,010000
2024-11-01 03:00;2024-11-01 04:00;DK2;34,000000;15,000000;97,974468;13,140000;676,501026;90,730000
2024-11-01 02:00;2024-11-01 03:00;DK2;34,000000;15,000000;97,974468;13,140000;674,115042;90,410000
2024-11-01 01:00;2024-11-01 02:00;DK2;34,000000;15,000000;97,974468;13,140000;675,904530;90,650000
2024-11-01 00:00;2024-11-01 01:00;DK2;34,000000;15,000000;97,974468;13,140000;677,022960;90,800000
2024-10-31 23:00;2024-11-01 00:00;DK2;38,000000;15,000000;141,667800;19,000000;678,141390;90,950000
2024-10-31 22:00;2024-10-31 23:00;DK2;38,000000;17,000000;165,465018;22,180000;682,449948;91,480000
2024-10-31 21:00;2024-10-31 22:00;DK2;38,000000;17,000000;165,465018;22,180000;689,164038;92,380000
2024-10-31 20:00;2024-10-31 21:00;DK2;38,000000;17,000000;141,741900;19,000000;697,817754;93,540000
2024-10-31 19:00;2024-10-31 20:00;DK2;38,000000;15,000000;111,901500;15,000000;701,398602;94,020000
2024-10-31 18:00;2024-10-31 19:00;DK2;38,000000;15,000000;108,469854;14,540000;711,544338;95,380000
2024-10-31 17:00;2024-10-31 18:00;DK2;38,000000;15,000000;108,469854;14,540000;732,134214;98,140000
2024-10-31 16:00;2024-10-31 17:00;DK2;29,000000;15,000000;85,791150;11,500000;857,911500;115,000000
2024-10-31 15:00;2024-10-31 16:00;DK2;38,000000;15,000000;115,482348;15,480000;711,544338;95,380000
2024-10-31 14:00;2024-10-31 15:00;DK2;34,000000;15,000000;98,025714;13,140000;708,709500;95,000000
2024-10-31 13:00;2024-10-31 14:00;DK2;33,000000;15,000000;99,965340;13,400000;703,636632;94,320000
2024-10-31 12:00;2024-10-31 13:00;DK2;33,000000;10,000000;99,965340;13,400000;458,273943;61,430000
2024-10-31 11:00;2024-10-31 12:00;DK2;34,000000;10,000000;101,308158;13,580000;532,725741;71,410000
2024-10-31 10:00;2024-10-31 11:00;DK2;29,000000;10,000000;89,521200;12,000000;560,402712;75,120000
2024-10-31 09:00;2024-10-31 10:00;DK2;29,000000;10,000000;89,521200;12,000000;596,434995;79,950000
2024-10-31 08:00;2024-10-31 09:00;DK2;29,000000;15,000000;82,061100;11,000000;920,352537;123,370000
2024-10-31 07:00;2024-10-31 08:00;DK2;29,000000;15,000000;89,521200;12,000000;965,709945;129,450000
2024-10-31 06:00;2024-10-31 07:00;DK2;38,000000;10,000000;107,798445;14,450000;958,100643;128,430000
2024-10-31 05:00;2024-10-31 06:00;DK2;38,000000;8,000000;99,965340;13,400000;707,068278;94,780000
2024-10-31 04:00;2024-10-31 05:00;DK2;38,000000;8,000000;136,967436;18,360000;719,750448;96,480000
2024-10-31 03:00;2024-10-31 04:00;DK2;34,000000;3,000000;108,469854;14,540000;85,045140;11,400000
2024-10-31 02:00;2024-10-31 03:00;DK2;29,000000;3,000000;108,469854;14,540000;83,254716;11,160000
2024-10-31 01:00;2024-10-31 02:00;DK2;33,000000;5,000000;99,965340;13,400000;920,352537;123,370000
2024-10-31 00:00;2024-10-31 01:00;DK2;38,000000;5,000000;99,965340;13,400000;920,352537;123,370000
2024-10-30 23:00;2024-10-31 00:00;DK2;38,000000;5,000000;136,967436;18,360000;920,352537;123,370000
2024-10-30 22:00;2024-10-30 23:00;DK2;41,000000;3,000000;145,481700;19,500000;96,987800;13,000000
2024-10-30 21:00;2024-10-30 22:00;DK2;51,000000;3,000000;123,099900;16,500000;96,987800;13,000000
2024-10-30 20:00;2024-10-30 21:00;DK2;51,000000;13,000000;119,369600;16,000000;1034,710614;138,690000
2024-10-30 19:00;2024-10-30 20:00;DK2;42,000000;13,000000;89,527200;12,000000;1004,868214;134,690000
2024-10-30 18:00;2024-10-30 19:00;DK2;42,000000;13,000000;82,066600;11,000000;1002,928458;134,430000
2024-10-30 17:00;2024-10-30 18:00;DK2;42,000000;13,000000;83,260296;11,160000;1001,734762;134,270000
2024-10-30 16:00;2024-10-30 17:00;DK2;42,000000;13,000000;74,606000;10,000000;1000,914096;134,160000
2024-10-30 15:00;2024-10-30 16:00;DK2;42,000000;13,000000;89,527200;12,000000;1349,174904;180,840000
2024-10-30 14:00;2024-10-30 15:00;DK2;51,000000;13,000000;111,909000;15,000000;965,625458;129,430000
2024-10-30 13:00;2024-10-30 14:00;DK2;51,000000;13,000000;111,909000;15,000000;834,468110;111,850000
2024-10-30 12:00;2024-10-30 13:00;DK2;42,000000;13,000000;74,606000;10,000000;665,410914;89,190000
2024-10-30 11:00;2024-10-30 12:00;DK2;42,000000;8,000000;74,606000;10,000000;729,124438;97,730000
2024-10-30 10:00;2024-10-30 11:00;DK2;32,000000;8,000000;89,527200;12,000000;729,124438;97,730000
2024-10-30 09:00;2024-10-30 10:00;DK2;42,000000;13,000000;111,909000;15,000000;980,397446;131,410000
2024-10-30 08:00;2024-10-30 09:00;DK2;42,000000;13,000000;93,257500;12,500000;1000,615672;134,120000
2024-10-30 07:00;2024-10-30 08:00;DK2;51,000000;13,000000;141,751400;19,000000;1001,958580;134,300000
2024-10-30 06:00;2024-10-30 07:00;DK2;51,000000;13,000000;111,909000;15,000000;1198,619996;160,660000
2024-10-30 05:00;2024-10-30 06:00;DK2;49,000000;15,000000;134,290800;18,000000;801,343046;107,410000
2024-10-30 04:00;2024-10-30 05:00;DK2;39,000000;15,000000;134,290800;18,000000;642,730690;86,150000
2024-10-30 03:00;2024-10-30 04:00;DK2;35,000000;15,000000;98,032284;13,140000;642,730690;86,150000
2024-10-30 02:00;2024-10-30 03:00;DK2;30,000000;15,000000;39,988816;5,360000;743,001154;99,590000
2024-10-30 01:00;2024-10-30 02:00;DK2;30,000000;15,000000;39,988816;5,360000;754,714296;101,160000
2024-10-30 00:00;2024-10-30 01:00;DK2;37,000000;3,000000;98,032284;13,140000;83,260296;11,160000
2024-10-29 23:00;2024-10-30 00:00;DK2;51,000000;8,000000;136,976616;18,360000;856,476880;114,800000
2024-10-29 22:00;2024-10-29 23:00;DK2;44,000000;14,000000;196,763144;26,380000;645,708316;86,570000
2024-10-29 21:00;2024-10-29 22:00;DK2;44,000000;4,000000;149,996468;20,110000;143,059784;19,180000
2024-10-29 20:00;2024-10-29 21:00;DK2;44,000000;4,000000;165,436184;22,180000;193,928800;26,000000
2024-10-29 19:00;2024-10-29 20:00;DK2;38,000000;4,000000;111,882000;15,000000;193,779624;25,980000
2024-10-29 18:00;2024-10-29 19:00;DK2;38,000000;4,000000;111,882000;15,000000;193,928800;26,000000
2024-10-29 17:00;2024-10-29 18:00;DK2;38,000000;4,000000;111,882000;15,000000;198,404080;26,600000
2024-10-29 16:00;2024-10-29 17:00;DK2;38,000000;4,000000;111,882000;15,000000;228,313868;30,610000
2024-10-29 15:00;2024-10-29 16:00;DK2;38,000000;4,000000;111,882000;15,000000;224,733644;30,130000
2024-10-29 14:00;2024-10-29 15:00;DK2;38,000000;4,000000;111,882000;15,000000;231,371976;31,020000
2024-10-29 13:00;2024-10-29 14:00;DK2;44,000000;4,000000;149,996468;20,110000;201,387600;27,000000
2024-10-29 12:00;2024-10-29 13:00;DK2;44,000000;4,000000;149,996468;20,110000;198,404080;26,600000
2024-10-29 11:00;2024-10-29 12:00;DK2;38,000000;4,000000;111,882000;15,000000;193,182920;25,900000
2024-10-29 10:00;2024-10-29 11:00;DK2;42,000000;4,000000;149,996468;20,110000;193,182920;25,900000
2024-10-29 09:00;2024-10-29 10:00;DK2;38,000000;4,000000;134,258400;18,000000;217,722372;29,190000
2024-10-29 08:00;2024-10-29 09:00;DK2;38,000000;4,000000;134,258400;18,000000;193,182920;25,900000
